                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                 0.5971,                 0.4196,                 0.9253,                0.76403,                0.49069,                0.55407,                0.40252,                 1.1526,                0.94689,                 1.3257,              0.0001105,              0.0001105,              0.0001105
                    141,                0.59249,                0.43115,                 0.9279,                0.77102,                0.49596,                0.55314,                0.39688,                 1.1505,                0.95272,                 1.3116,              0.0001088,              0.0001088,              0.0001088
                    142,                0.61466,                0.43113,                0.93439,                0.74239,                0.50504,                 0.5603,                0.40448,                 1.1521,                0.94093,                 1.3236,              0.0001071,              0.0001071,              0.0001071
                    143,                 0.5859,                0.41606,                0.92761,                0.76339,                0.49679,                0.56474,                0.40194,                 1.1504,                0.93616,                 1.3195,             0.00010541,             0.00010541,             0.00010541
                    144,                0.59109,                0.42487,                0.93317,                0.78363,                0.49337,                0.57469,                0.40968,                 1.1667,                0.93816,                 1.3366,             0.00010371,             0.00010371,             0.00010371
                    145,                0.60482,                0.42971,                0.93903,                0.79369,                0.49556,                0.56937,                0.40665,                 1.1751,                0.95318,                 1.3431,             0.00010201,             0.00010201,             0.00010201
                    146,                0.59373,                0.42761,                0.93382,                 0.7931,                 0.4919,                0.56881,                0.41089,                 1.1841,                0.92855,                   1.34,             0.00010031,             0.00010031,             0.00010031
                    147,                0.61441,                0.46014,                0.95132,                0.75981,                0.50589,                0.57275,                0.40437,                 1.1793,                 0.9398,                 1.3385,             9.8608e-05,             9.8608e-05,             9.8608e-05
                    148,                0.59332,                0.42283,                0.93076,                0.77463,                0.49373,                0.56581,                0.40324,                 1.1894,                0.94586,                 1.3441,             9.6909e-05,             9.6909e-05,             9.6909e-05
                    149,                0.57756,                0.40471,                0.92177,                0.74132,                0.51168,                0.56271,                0.40918,                  1.188,                0.96201,                 1.3389,              9.521e-05,              9.521e-05,              9.521e-05
                    150,                0.57398,                0.40016,                0.91993,                0.77566,                0.49359,                0.55648,                0.40825,                 1.1724,                0.94967,                 1.3348,              9.351e-05,              9.351e-05,              9.351e-05
